time,weather_code,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_max,apparent_temperature_min,apparent_temperature_mean,sunrise,sunset,daylight_duration,sunshine_duration,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration,latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
2025-02-01,3.0,33.3,21.9,26.1,35.5,25.5,29.4,2025-02-01T00:52,2025-02-01T12:07,40542.39,34949.9,0.0,0.0,0.0,0.0,12.7,24.5,208.0,17.58,3.89,20.281195,85.843376,44.0,0,GMT,GMT
2025-02-02,3.0,33.6,20.6,26.5,36.4,23.8,29.1,2025-02-02T00:52,2025-02-02T12:08,40598.42,36525.66,0.0,0.0,0.0,0.0,12.9,24.8,228.0,18.01,4.23,20.281195,85.843376,44.0,0,GMT,GMT
2025-02-03,3.0,32.9,20.2,26.2,35.8,23.2,29.8,2025-02-03T00:51,2025-02-03T12:09,40655.34,37952.12,0.0,0.0,0.0,0.0,13.3,28.4,63.0,18.05,4.07,20.281195,85.843376,44.0,0,GMT,GMT
2025-02-04,3.0,31.9,22.8,26.5,36.4,27.6,31.0,2025-02-04T00:51,2025-02-04T12:09,40713.09,36591.33,0.0,0.0,0.0,0.0,13.3,26.3,181.0,17.61,3.71,20.281195,85.843376,44.0,0,GMT,GMT
2025-02-05,3.0,33.6,22.5,27.1,36.7,25.6,30.5,2025-02-05T00:50,2025-02-05T12:10,40771.59,35611.55,0.0,0.0,0.0,0.0,14.8,27.7,225.0,17.5,4.04,20.281195,85.843376,44.0,0,GMT,GMT
2025-02-06,2.0,32.8,20.7,26.4,35.1,24.0,29.2,2025-02-06T00:50,2025-02-06T12:10,40830.79,38141.0,0.0,0.0,0.0,0.0,12.3,32.8,55.0,17.56,4.16,20.281195,85.843376,44.0,0,GMT,GMT
2025-02-07,3.0,31.1,20.5,25.1,32.5,23.8,27.4,2025-02-07T00:50,2025-02-07T12:11,40890.62,38205.27,0.0,0.0,0.0,0.0,13.3,30.6,80.0,17.82,3.94,20.281195,85.843376,44.0,0,GMT,GMT
2025-02-08,3.0,30.9,19.1,24.3,32.3,21.4,26.6,2025-02-08T00:49,2025-02-08T12:11,40951.01,37737.46,0.0,0.0,0.0,0.0,13.9,29.5,48.0,18.64,3.97,20.281195,85.843376,44.0,0,GMT,GMT
2025-02-09,3.0,30.8,19.1,24.6,33.6,21.0,27.1,2025-02-09T00:49,2025-02-09T12:12,41011.89,37330.7,0.0,0.0,0.0,0.0,10.0,22.7,193.0,18.88,3.87,20.281195,85.843376,44.0,0,GMT,GMT
2025-02-10,0.0,32.4,20.1,25.5,34.5,22.7,27.9,2025-02-10T00:48,2025-02-10T12:12,41073.2,38400.93,0.0,0.0,0.0,0.0,17.3,38.2,210.0,19.4,4.39,20.281195,85.843376,44.0,0,GMT,GMT
2025-02-11,0.0,33.8,21.4,26.5,35.7,24.0,28.9,2025-02-11T00:48,2025-02-11T12:13,41134.89,38466.88,0.0,0.0,0.0,0.0,14.3,36.4,221.0,19.0,4.53,20.281195,85.843376,44.0,0,GMT,GMT
2025-02-12,1.0,34.8,22.3,27.6,36.6,25.2,29.8,2025-02-12T00:47,2025-02-12T12:13,41196.89,38533.06,0.0,0.0,0.0,0.0,15.6,36.4,225.0,18.77,4.9,20.281195,85.843376,44.0,0,GMT,GMT
2025-02-13,0.0,33.7,20.8,27.0,33.9,23.7,28.7,2025-02-13T00:47,2025-02-13T12:14,41259.13,38599.41,0.0,0.0,0.0,0.0,13.2,30.2,285.0,20.02,4.92,20.281195,85.843376,44.0,0,GMT,GMT
2025-02-14,0.0,32.1,20.1,25.1,32.0,20.2,26.1,2025-02-14T00:46,2025-02-14T12:14,41321.57,38665.88,0.0,0.0,0.0,0.0,13.7,28.4,327.0,20.39,4.7,20.281195,85.843376,44.0,0,GMT,GMT
2025-02-15,1.0,32.2,19.5,25.1,31.8,21.2,25.9,2025-02-15T00:45,2025-02-15T12:15,41384.12,38732.41,0.0,0.0,0.0,0.0,11.2,24.8,286.0,20.49,4.64,20.281195,85.843376,44.0,0,GMT,GMT
2025-02-16,2.0,33.8,20.1,26.3,34.0,22.0,28.0,2025-02-16T00:45,2025-02-16T12:15,41446.85,38798.91,0.0,0.0,0.0,0.0,15.2,32.8,226.0,20.57,4.73,20.281195,85.843376,44.0,0,GMT,GMT
2025-02-17,1.0,33.6,22.1,26.5,34.2,25.2,28.5,2025-02-17T00:44,2025-02-17T12:16,41510.32,38865.88,0.0,0.0,0.0,0.0,16.4,37.4,199.0,19.88,5.02,20.281195,85.843376,44.0,0,GMT,GMT
2025-02-18,3.0,33.3,22.1,26.8,36.4,25.0,29.8,2025-02-18T00:44,2025-02-18T12:16,41574.55,37122.82,0.0,0.0,0.0,0.0,16.6,39.2,197.0,18.71,4.48,20.281195,85.843376,44.0,0,GMT,GMT
2025-02-19,51.0,33.5,23.0,26.9,36.4,26.6,30.2,2025-02-19T00:43,2025-02-19T12:17,41639.48,39001.92,0.4,0.4,0.0,3.0,14.6,39.6,183.0,18.86,4.52,20.281195,85.843376,44.0,0,GMT,GMT
2025-02-20,51.0,32.7,21.4,26.5,33.6,25.5,29.1,2025-02-20T00:42,2025-02-20T12:17,41705.06,38234.73,1.0,1.0,0.0,4.0,17.8,41.4,172.0,18.58,4.69,20.281195,85.843376,44.0,0,GMT,GMT
2025-02-21,51.0,33.8,21.0,26.1,37.4,25.1,29.7,2025-02-21T00:42,2025-02-21T12:18,41771.23,39140.37,0.1,0.1,0.0,1.0,16.9,41.4,191.0,19.03,4.25,20.281195,85.843376,44.0,0,GMT,GMT
2025-02-22,53.0,32.6,21.5,26.4,36.1,24.8,29.8,2025-02-22T00:41,2025-02-22T12:18,41837.92,39210.32,1.1,1.1,0.0,4.0,13.6,44.3,185.0,18.09,4.29,20.281195,85.843376,44.0,0,GMT,GMT
2025-02-23,51.0,31.9,20.7,25.7,36.6,22.5,29.4,2025-02-23T00:40,2025-02-23T12:19,41905.08,39280.66,0.1,0.1,0.0,1.0,15.0,31.7,123.0,19.19,4.08,20.281195,85.843376,44.0,0,GMT,GMT
2025-02-24,51.0,31.4,20.4,25.4,34.5,24.2,28.8,2025-02-24T00:40,2025-02-24T12:19,41972.66,33346.65,0.2,0.2,0.0,2.0,13.5,26.3,66.0,18.59,4.06,20.281195,85.843376,44.0,0,GMT,GMT
2025-02-25,53.0,31.7,19.9,25.7,35.0,23.6,29.4,2025-02-25T00:39,2025-02-25T12:19,42040.57,39126.55,1.1,1.1,0.0,2.0,12.9,24.5,149.0,18.87,4.08,20.281195,85.843376,44.0,0,GMT,GMT
2025-02-26,51.0,30.9,20.5,25.5,34.4,23.8,28.6,2025-02-26T00:38,2025-02-26T12:20,42108.8,37111.91,0.2,0.2,0.0,2.0,13.2,27.7,171.0,18.89,4.17,20.281195,85.843376,44.0,0,GMT,GMT
2025-02-27,1.0,32.5,20.3,26.0,36.2,23.7,29.1,2025-02-27T00:37,2025-02-27T12:20,42177.25,39545.07,0.0,0.0,0.0,0.0,16.6,34.2,207.0,19.89,4.41,20.281195,85.843376,44.0,0,GMT,GMT
2025-02-28,3.0,33.5,20.6,26.7,36.9,23.7,29.7,2025-02-28T00:37,2025-02-28T12:20,42245.9,39569.44,0.0,0.0,0.0,0.0,14.8,33.8,199.0,20.83,4.78,20.281195,85.843376,44.0,0,GMT,GMT
2025-03-01,1.0,35.0,22.1,27.1,36.6,25.0,29.1,2025-03-01T00:36,2025-03-01T12:21,42314.67,39593.39,0.0,0.0,0.0,0.0,15.9,37.1,207.0,21.45,5.46,20.281195,85.843376,44.0,0,GMT,GMT
2025-03-02,3.0,36.9,22.2,28.3,37.8,25.6,30.7,2025-03-02T00:35,2025-03-02T12:21,42383.53,39600.0,0.0,0.0,0.0,0.0,16.5,31.7,222.0,21.04,5.22,20.281195,85.843376,44.0,0,GMT,GMT
2025-03-03,3.0,36.3,22.6,28.9,38.8,26.1,32.5,2025-03-03T00:34,2025-03-03T12:22,42452.41,39600.0,0.0,0.0,0.0,0.0,13.0,36.7,161.0,20.66,5.0,20.281195,85.843376,44.0,0,GMT,GMT
2025-03-04,3.0,35.7,23.7,28.3,35.6,27.2,30.7,2025-03-04T00:34,2025-03-04T12:22,42521.25,36000.0,0.0,0.0,0.0,0.0,14.9,37.1,315.0,21.27,5.42,20.281195,85.843376,44.0,0,GMT,GMT
2025-03-05,3.0,34.6,21.7,28.1,37.1,18.4,28.8,2025-03-05T00:33,2025-03-05T12:22,42590.01,37736.25,0.0,0.0,0.0,0.0,13.0,28.8,295.0,21.25,5.9,20.281195,85.843376,44.0,0,GMT,GMT
2025-03-06,0.0,32.4,19.3,25.4,32.1,17.6,25.0,2025-03-06T00:32,2025-03-06T12:23,42658.64,39600.0,0.0,0.0,0.0,0.0,14.1,28.4,317.0,23.01,5.56,20.281195,85.843376,44.0,0,GMT,GMT
2025-03-07,0.0,33.3,18.7,26.0,32.9,20.5,27.2,2025-03-07T00:31,2025-03-07T12:23,42727.07,39600.0,0.0,0.0,0.0,0.0,15.1,28.8,235.0,22.9,5.06,20.281195,85.843376,44.0,0,GMT,GMT
2025-03-08,0.0,21.5,21.5,,24.7,24.7,,2025-03-08T00:30,2025-03-08T12:23,42795.36,,,,,0.0,9.3,17.6,,,,20.281195,85.843376,44.0,0,GMT,GMT
2025-03-09,,,,,,,,2025-03-09T00:30,2025-03-09T12:24,42864.02,,,,,0.0,,,,,,20.281195,85.843376,44.0,0,GMT,GMT
